model,strategy,profile_id,food,run,predicted,gold,latency_ms,conditions,allergens,llm_raw_verdict,parse_fallback
claude-sonnet-4-5,zero_shot,P01,sashimi,1,limit,recommend,2561,diabetes,,limit,False
claude-sonnet-4-5,zero_shot,P01,greek_salad,1,limit,recommend,4839,diabetes,,limit,False
claude-sonnet-4-5,zero_shot,P01,grilled_salmon,1,limit,recommend,3330,diabetes,,limit,False
claude-sonnet-4-5,zero_shot,P01,edamame,1,recommend,recommend,2136,diabetes,,recommend,False
claude-sonnet-4-5,zero_shot,P01,omelette,1,recommend|limit,recommend,4317,diabetes,,recommend|limit,False
claude-sonnet-4-5,zero_shot,P01,chicken_curry,1,limit,recommend,2932,diabetes,,limit,False
claude-sonnet-4-5,zero_shot,P01,pho,1,limit,recommend,4230,diabetes,,limit,False
claude-sonnet-4-5,zero_shot,P01,caprese_salad,1,limit,recommend,3908,diabetes,,limit,False
claude-sonnet-4-5,zero_shot,P01,tuna_tartare,1,limit,recommend,2844,diabetes,,limit,False
claude-sonnet-4-5,zero_shot,P01,french_fries,1,limit,avoid,2069,diabetes,,limit,False
claude-sonnet-4-5,zero_shot,P01,pizza,1,limit,limit,4238,diabetes,,limit,False
claude-sonnet-4-5,zero_shot,P01,macaroni_and_cheese,1,limit,avoid,2572,diabetes,,limit,False
claude-sonnet-4-5,zero_shot,P01,nachos,1,limit,avoid,3064,diabetes,,limit,False
claude-sonnet-4-5,zero_shot,P01,hot_dog,1,limit,avoid,2606,diabetes,,limit,False
claude-sonnet-4-5,zero_shot,P01,apple_pie,1,limit,limit,3576,diabetes,,limit,False
claude-sonnet-4-5,zero_shot,P01,ice_cream,1,limit,avoid,4238,diabetes,,limit,False
claude-sonnet-4-5,zero_shot,P01,chocolate_cake,1,limit,avoid,3434,diabetes,,limit,False
claude-sonnet-4-5,zero_shot,P01,hummus,1,limit,recommend,4151,diabetes,,limit,False
claude-sonnet-4-5,zero_shot,P01,beet_salad,1,limit,recommend,3137,diabetes,,limit,False
claude-sonnet-4-5,zero_shot,P01,guacamole,1,limit,recommend,3100,diabetes,,limit,False
claude-sonnet-4-5,zero_shot,P01,steak,1,limit,recommend,3292,diabetes,,limit,False
claude-sonnet-4-5,zero_shot,P01,hamburger,1,limit,limit,2648,diabetes,,limit,False
claude-sonnet-4-5,zero_shot,P01,ramen,1,limit,limit,4311,diabetes,,limit,False
claude-sonnet-4-5,zero_shot,P01,spaghetti_bolognese,1,limit,limit,3926,diabetes,,limit,False
claude-sonnet-4-5,zero_shot,P02,sashimi,1,limit,recommend,3763,hypertension,,limit,False
claude-sonnet-4-5,zero_shot,P02,greek_salad,1,limit,recommend,3820,hypertension,,limit,False
claude-sonnet-4-5,zero_shot,P02,grilled_salmon,1,limit,recommend,4346,hypertension,,limit,False
claude-sonnet-4-5,zero_shot,P02,edamame,1,limit,recommend,4504,hypertension,,limit,False
claude-sonnet-4-5,zero_shot,P02,omelette,1,limit,recommend,4507,hypertension,,limit,False
claude-sonnet-4-5,zero_shot,P02,chicken_curry,1,limit,limit,3411,hypertension,,limit,False
claude-sonnet-4-5,zero_shot,P02,pho,1,limit,limit,3771,hypertension,,limit,False
claude-sonnet-4-5,zero_shot,P02,caprese_salad,1,limit,recommend,4237,hypertension,,limit,False
claude-sonnet-4-5,zero_shot,P02,tuna_tartare,1,limit,recommend,2828,hypertension,,limit,False
claude-sonnet-4-5,zero_shot,P02,french_fries,1,limit,avoid,3513,hypertension,,limit,False
claude-sonnet-4-5,zero_shot,P02,pizza,1,limit,avoid,3002,hypertension,,limit,False
claude-sonnet-4-5,zero_shot,P02,macaroni_and_cheese,1,limit,avoid,3452,hypertension,,limit,False
claude-sonnet-4-5,zero_shot,P02,nachos,1,limit,avoid,5177,hypertension,,limit,False
claude-sonnet-4-5,zero_shot,P02,hot_dog,1,limit,avoid,2852,hypertension,,limit,False
claude-sonnet-4-5,zero_shot,P02,apple_pie,1,limit,limit,2831,hypertension,,limit,False
claude-sonnet-4-5,zero_shot,P02,ice_cream,1,limit,limit,3385,hypertension,,limit,False
claude-sonnet-4-5,zero_shot,P02,chocolate_cake,1,limit,limit,2944,hypertension,,limit,False
claude-sonnet-4-5,zero_shot,P02,hummus,1,limit,recommend,3369,hypertension,,limit,False
claude-sonnet-4-5,zero_shot,P02,beet_salad,1,limit,recommend,2462,hypertension,,limit,False
claude-sonnet-4-5,zero_shot,P02,guacamole,1,limit,recommend,2923,hypertension,,limit,True
claude-sonnet-4-5,zero_shot,P02,steak,1,limit,limit,3061,hypertension,,limit,False
claude-sonnet-4-5,zero_shot,P02,hamburger,1,limit,avoid,3300,hypertension,,limit,False
claude-sonnet-4-5,zero_shot,P02,ramen,1,limit,avoid,2979,hypertension,,limit,False
claude-sonnet-4-5,zero_shot,P02,spaghetti_bolognese,1,limit,limit,3777,hypertension,,limit,False
claude-sonnet-4-5,zero_shot,P03,sashimi,1,limit,recommend,3641,ckd,,limit,False
claude-sonnet-4-5,zero_shot,P03,greek_salad,1,limit,recommend,4309,ckd,,limit,False
claude-sonnet-4-5,zero_shot,P03,grilled_salmon,1,limit,recommend,3379,ckd,,limit,False
claude-sonnet-4-5,zero_shot,P03,edamame,1,limit,recommend,3904,ckd,,limit,False
claude-sonnet-4-5,zero_shot,P03,omelette,1,limit,recommend,2620,ckd,,limit,False
claude-sonnet-4-5,zero_shot,P03,chicken_curry,1,limit,limit,2430,ckd,,limit,False
claude-sonnet-4-5,zero_shot,P03,pho,1,limit,limit,4242,ckd,,limit,False
claude-sonnet-4-5,zero_shot,P03,caprese_salad,1,limit,recommend,4271,ckd,,limit,False
claude-sonnet-4-5,zero_shot,P03,tuna_tartare,1,limit,recommend,2584,ckd,,limit,False
claude-sonnet-4-5,zero_shot,P03,french_fries,1,limit,limit,2338,ckd,,limit,False
claude-sonnet-4-5,zero_shot,P03,pizza,1,limit,avoid,2186,ckd,,limit,False
claude-sonnet-4-5,zero_shot,P03,macaroni_and_cheese,1,limit,avoid,2271,ckd,,limit,False
claude-sonnet-4-5,zero_shot,P03,nachos,1,limit,avoid,3040,ckd,,limit,False
claude-sonnet-4-5,zero_shot,P03,hot_dog,1,limit,limit,2623,ckd,,limit,False
claude-sonnet-4-5,zero_shot,P03,apple_pie,1,limit,limit,3080,ckd,,limit,False
claude-sonnet-4-5,zero_shot,P03,ice_cream,1,limit,avoid,3995,ckd,,limit,False
claude-sonnet-4-5,zero_shot,P03,chocolate_cake,1,limit,avoid,3778,ckd,,limit,False
claude-sonnet-4-5,zero_shot,P03,hummus,1,limit,limit,3322,ckd,,limit,False
claude-sonnet-4-5,zero_shot,P03,beet_salad,1,limit,limit,3650,ckd,,limit,False
